DER Name,Alpha,Phases,Bus,Pi,P_inj,Q_inj
DER_394,0.0,['A'],109,13.4,-0.0,-0.0
DER_395,0.0,['A'],109,11.1,0.0,0.0
DER_396,0.0,['A'],110,7.8,0.0,0.0
DER_397,0.0,['A'],110,5.8,-0.0,-0.0
DER_398,0.0,['A'],110,7.9,0.0,0.0
DER_399,0.0,['A'],110,23.9,-0.0,-0.0
DER_400,0.0,['A'],110,19.2,0.0,0.0
DER_401,0.0,['A'],111,22.5,0.0,0.0
DER_402,0.0,['A'],111,15.3,-0.0,-0.0
DER_403,0.0,['A'],111,18.0,-0.0,-0.0
DER_404,0.0,['A'],111,11.8,0.0,0.0
DER_405,0.0,['A'],111,17.0,0.0,0.0
DER_406,0.0,['A'],112,16.7,0.0,0.0
DER_407,0.0,['A'],112,22.2,0.0,0.0
DER_408,0.0,['A'],112,21.1,0.0,0.0
DER_409,0.0,['A'],112,13.4,-0.0,-0.0
DER_410,0.0,['A'],112,12.3,-0.0,-0.0
DER_411,0.0,['A'],113,9.1,-0.0,-0.0
DER_412,0.0,['A'],113,13.9,0.0,0.0
DER_413,0.0,['A'],114,15.8,-0.0,-0.0
DER_414,0.0,['A'],114,21.2,-0.0,-0.0
DER_415,0.0,['A'],114,17.4,0.0,0.0
DER_416,0.0,['A'],114,15.3,0.0,0.0
DER_417,1.0,['A'],149,18.7,-32.0,-15.498307354811281
DER_418,1.0,"['B', 'C']",149,20.8,-22.0,-10.655086306432755
DER_419,0.0,"['A', 'B']",151,13.6,-0.0,-0.0
DER_420,0.0,"['A', 'B', 'C']",151,14.3,0.0,0.0
DER_421,0.0,"['A', 'B', 'C']",151,22.8,0.0,0.0
DER_422,0.0,"['A', 'C']",151,15.1,-0.0,-0.0
DER_423,0.0,"['B', 'C']",151,15.0,0.0,0.0
DER_424,0.0,['C'],152,18.4,0.0,0.0
DER_425,1.0,"['A', 'B', 'C']",160,19.2,-33.0,-15.982629459649134
DER_426,0.0,"['A', 'B']",160,13.9,-0.0,-0.0
DER_427,1.0,"['A', 'C']",160,18.2,-24.0,-11.623730516108461
DER_428,0.0,"['B', 'C']",160,15.8,0.0,0.0
DER_429,0.0,"['A', 'B', 'C']",197,8.1,-0.0,-0.0
DER_430,0.0,"['A', 'B']",197,9.1,-0.0,-0.0
DER_431,0.0,['C'],197,7.9,-0.0,-0.0
DER_432,1.0,['A'],197,6.9,19.0,9.202119991919199
DER_433,1.0,"['A', 'B', 'C']",197,16.4,-17.0,-8.233475782243493
DER_434,0.0,['C'],250,12.3,0.0,0.0
DER_435,1.0,"['B', 'C']",250,10.0,18.0,8.717797887081346
DER_436,0.0,['A'],300,10.9,0.0,0.0
DER_437,0.0,['A'],300,14.9,-0.0,-0.0
DER_438,1.0,['B'],300,22.9,-31.0,-15.013985249973429
DER_439,0.0,"['A', 'B', 'C']",300,15.3,-0.0,-0.0
DER_440,0.0,"['A', 'C']",300,13.7,0.0,0.0
DER_441,1.0,"['B', 'C']",300,16.7,-14.0,-6.780509467729935
DER_442,0.0,['B'],450,18.1,0.0,0.0
DER_443,1.0,['B'],450,16.1,-21.0,-10.170764201594903
DER_444,0.0,['A'],450,18.2,0.0,0.0
DER_445,1.0,['B'],450,17.0,-8.0,-3.8745768387028203
